iter	Passed	Remaining
0	4	467
1	7	363
2	10	331
3	12	302
4	15	295
5	18	284
6	20	272
7	23	268
8	26	264
9	28	257
10	30	249
11	33	242
12	35	239
13	39	243
14	41	237
15	44	231
16	46	229
17	49	224
18	54	231
19	56	225
20	58	220
21	60	215
22	63	212
23	65	208
24	67	203
25	70	199
26	72	196
27	74	192
28	76	188
29	78	183
30	81	180
31	83	176
32	85	173
33	87	169
34	89	165
35	91	161
36	93	158
37	95	155
38	97	152
39	99	149
40	101	146
41	102	141
42	104	138
43	107	137
44	110	134
45	112	131
46	114	128
47	116	125
48	118	123
49	120	120
50	122	117
51	124	115
52	126	112
53	129	109
54	130	106
55	132	103
56	134	101
57	137	99
58	139	96
59	141	94
60	143	92
61	148	90
62	151	88
63	153	86
64	155	83
65	158	81
66	160	79
67	163	76
68	165	74
69	167	71
70	170	69
71	172	66
72	174	64
73	176	62
74	179	59
75	181	57
76	183	54
77	186	52
78	188	50
79	190	47
80	192	45
81	194	42
82	196	40
83	198	37
84	201	35
85	203	33
86	205	30
87	207	28
88	209	25
89	211	23
90	213	21
91	215	18
92	217	16
93	219	14
94	221	11
95	223	9
96	228	7
97	230	4
98	234	2
99	236	0
