iter	Passed	Remaining
0	142	142105
1	144	71985
2	146	48583
3	147	36832
4	149	29807
5	151	25169
6	154	21851
7	156	19420
8	158	17473
9	160	15926
10	162	14630
11	169	13922
12	171	13035
13	174	12290
14	178	11704
15	180	11116
16	182	10563
17	184	10075
18	186	9635
19	188	9228
20	190	8864
21	192	8536
22	194	8253
23	196	7976
24	197	7721
25	199	7476
26	201	7279
27	204	7093
28	206	6919
29	208	6735
30	210	6579
31	212	6421
32	214	6277
33	215	6136
34	217	6005
35	219	5878
36	221	5755
37	222	5638
38	224	5538
39	226	5433
40	227	5332
41	230	5253
42	232	5172
43	234	5093
44	236	5016
45	238	4943
46	239	4865
47	241	4799
48	243	4731
49	245	4670
50	247	4609
51	249	4549
52	251	4491
53	253	4436
54	255	4387
55	257	4343
56	259	4294
57	261	4252
58	263	4207
59	265	4165
60	269	4143
61	271	4103
62	273	4064
63	275	4023
64	277	3986
65	279	3952
66	281	3922
67	283	3888
68	285	3853
69	287	3817
70	289	3783
71	290	3749
72	292	3716
73	294	3684
74	296	3652
75	297	3621
76	299	3594
77	301	3564
78	303	3535
79	309	3556
80	311	3533
81	313	3506
82	314	3473
83	316	3453
84	318	3429
85	320	3405
86	322	3382
87	324	3359
88	326	3338
89	327	3314
90	330	3296
91	331	3276
92	333	3256
93	335	3235
94	337	3215
95	339	3198
96	341	3179
97	343	3162
98	345	3146
99	347	3131
100	350	3122
101	352	3106
102	354	3088
103	356	3074
104	358	3058
105	360	3041
106	362	3025
107	364	3009
108	367	3001
109	369	2992
110	373	2988
111	374	2972
112	376	2958
113	378	2943
114	380	2930
115	382	2914
116	383	2896
117	386	2887
118	388	2877
119	390	2865
120	392	2853
121	394	2838
122	396	2825
123	398	2813
124	401	2807
125	403	2799
126	405	2786
127	407	2776
128	409	2767
129	411	2755
130	413	2742
131	415	2731
132	418	2730
133	421	2722
134	423	2715
135	426	2707
136	428	2698
137	430	2688
138	432	2676
139	433	2664
140	435	2652
141	436	2637
142	438	2626
143	440	2621
144	443	2612
145	446	2611
146	448	2601
147	450	2594
148	452	2585
149	457	2592
150	459	2584
151	471	2633
152	474	2625
153	476	2618
154	478	2608
155	480	2598
156	482	2590
157	484	2582
158	486	2573
159	489	2568
160	490	2556
161	492	2546
162	494	2537
163	496	2529
164	497	2519
165	500	2512
166	502	2504
167	504	2496
168	505	2487
169	507	2479
170	510	2473
171	512	2465
172	514	2460
173	516	2452
174	518	2444
175	520	2437
176	522	2430
177	524	2422
178	526	2416
179	528	2409
180	531	2402
181	533	2396
182	534	2388
183	537	2381
184	539	2374
185	541	2367
186	543	2361
187	545	2356
188	547	2350
189	549	2343
190	551	2337
191	553	2331
192	555	2324
193	557	2317
194	559	2311
195	561	2303
196	563	2297
197	565	2290
198	567	2283
199	569	2276
200	571	2270
201	573	2264
202	576	2262
203	578	2256
204	581	2254
205	583	2249
206	585	2244
207	588	2241
208	590	2236
209	592	2230
210	594	2224
211	596	2218
212	598	2212
213	601	2210
214	603	2204
215	605	2198
216	607	2192
217	609	2187
218	611	2180
219	613	2174
220	615	2168
221	617	2163
222	619	2157
223	621	2151
224	622	2145
225	624	2139
226	627	2136
227	629	2130
228	630	2124
229	632	2118
230	635	2115
231	637	2110
232	639	2104
233	641	2098
234	643	2094
235	645	2089
236	647	2085
237	649	2080
238	651	2075
239	653	2069
240	655	2064
241	657	2058
242	661	2062
243	664	2057
244	669	2063
245	672	2060
246	674	2055
247	676	2050
248	678	2045
249	680	2040
250	681	2035
251	684	2030
252	685	2024
253	687	2019
254	689	2015
255	691	2010
256	693	2006
257	695	2001
258	697	1996
259	699	1991
260	701	1987
261	704	1983
262	706	1978
263	708	1974
264	710	1971
265	713	1967
266	715	1963
267	717	1959
268	720	1957
269	722	1953
270	726	1953
271	729	1953
272	731	1948
273	733	1944
274	735	1939
275	737	1934
276	739	1929
277	741	1924
